Depth	Dataset	Tools	TP1	TP2	FP	TN	FN	Accuracy	Precision	Sensitivity	Specificity	F1score	False_Positive_Rate	False_Negative	Base_pair_Difference	Redundancy
5X	dataset6	Deep_EccScan	8225.0	8371.0	4.0	10000.0	1775.0	0.9110677864427115	0.9995139142058573	0.8225	0.9996001599360256	0.9024082505897197	0.00039984006397441024	0.1775	0.97	1.02
5X	dataset6	Circle_finder	7897.0	9656.0	507.0	10000.0	1603.0	0.8945369120807717	0.9396715849595431	0.8312631578947368	0.9517464547444561	0.8821492403932082	0.04825354525554392	0.16873684210526316	1.07	1.22
5X	dataset6	CircleMap	7949.0	8905.0	560.0	10000.0	2051.0	0.8730058365758755	0.9341873310612293	0.7949	0.946969696969697	0.8589334918147928	0.05303030303030303	0.2051	13.08	1.12
5X	dataset6	ecc_finder	3029.0	3032.0	236.0	10000.0	6971.0	0.6438525400276734	0.9277182235834609	0.3029	0.9769441187964049	0.4566905390124388	0.023055881203595155	0.6971	1.97	1.0
5X	dataset6	ECCsplorer	4924.0	5037.0	13682.0	10000.0	5076.0	0.44308532747461554	0.2646458131785446	0.4924	0.42226163330799765	0.34426344123610436	0.5777383666920024	0.5076	6.24	1.02
5X	dataset7	Deep_EccScan	9423.0	9780.0	104.0	10000.0	577.0	0.9661261440509351	0.9890836569749134	0.9423	0.9897070467141726	0.9651252112459671	0.010292953285827395	0.0577	0.81	1.04
5X	dataset7	Circle_finder	8449.0	11070.0	544.0	10000.0	1051.0	0.9204250648573139	0.9395085066162571	0.8893684210526316	0.9484066767830045	0.9137511490834371	0.051593323216995446	0.11063157894736841	1.26	1.31
5X	dataset7	CircleMap	9035.0	9471.0	472.0	10000.0	965.0	0.9298065650644783	0.9503523719364678	0.9035	0.9549274255156608	0.9263341364638334	0.04507257448433919	0.0965	3.06	1.05
5X	dataset7	ecc_finder	2665.0	2668.0	37.0	10000.0	7335.0	0.6320806507960274	0.9863064396743153	0.2665	0.9963136395337252	0.41961895764446544	0.003686360466274783	0.7335	1.32	1.0
5X	dataset7	ECCsplorer	8792.0	8950.0	962.0	10000.0	1208.0	0.8964793435740864	0.9013737953660037	0.8792	0.9122422915526364	0.890148830616584	0.08775770844736362	0.1208	0.84	1.02
10X	dataset1	Deep_EccScan	9243.0	9451.0	6.0	10000.0	757.0	0.9618614415675297	0.9993512812195913	0.9243	0.9994003597841296	0.9603615772247909	0.0005996402158704777	0.0757	1.05	1.02
10X	dataset1	Circle_finder	8434.0	10886.0	506.0	10000.0	1066.0	0.9214235729281216	0.943400447427293	0.8877894736842106	0.9518370454978108	0.9147505422993493	0.04816295450218923	0.11221052631578947	1.23	1.29
10X	dataset1	CircleMap	9133.0	12278.0	1830.0	10000.0	867.0	0.8764544205222171	0.8330748882605127	0.9133	0.8453085376162299	0.8713447502742928	0.15469146238377007	0.0867	33.22	1.34
10X	dataset1	ecc_finder	5676.0	5682.0	286.0	10000.0	4324.0	0.7727496795819777	0.9520295202952029	0.5676	0.9721952167995334	0.7111890740508708	0.027804783200466653	0.4324	1.55	1.0
10X	dataset1	ECCsplorer	7333.0	7450.0	6729.0	10000.0	2667.0	0.6484716974073104	0.5214763191580145	0.7333	0.59776436128878	0.6095087690133821	0.40223563871122003	0.2667	4.83	1.02
10X	dataset2	Deep_EccScan	9468.0	9789.0	4.0	10000.0	532.0	0.9732053589282144	0.9995777027027027	0.9468	0.9996001599360256	0.9724732949876747	0.00039984006397441024	0.0532	1.11	1.03
