Depth	Dataset	Tools	Total_minutes	Peak_memory
20X	dataset4	ecc_finder	12.45	9.0
20X	dataset4	ECCsplorer	715.26	60.36
20X	dataset5	Deep_eccScan	5.4	0.4849
20X	dataset5	CircleMap	283.41	19.59
20X	dataset5	Circle_finder	14.84	6.23
20X	dataset5	ecc_finder	17.06	6.24
20X	dataset5	ECCsplorer	650.23	60.36
20X	dataset6	Deep_eccScan	6.34	0.5554
20X	dataset6	CircleMap	521.49	19.53
20X	dataset6	Circle_finder	22.87	6.56
20X	dataset6	ecc_finder	30.73	12.84
20X	dataset6	ECCsplorer	128.47	60.36
20X	dataset7	Deep_eccScan	9.29	0.494
20X	dataset7	CircleMap	539.23	19.51
20X	dataset7	Circle_finder	7.56	6.76
20X	dataset7	ecc_finder	7.88	8.95
20X	dataset7	ECCsplorer	748.98	60.36
30X	dataset1	Deep_eccScan	35.91	0.3373
30X	dataset1	CircleMap	650.41	19.58
30X	dataset1	Circle_finder	24.28	6.29
30X	dataset1	ecc_finder	30.24	9.1
30X	dataset1	ECCsplorer	722.89	60.36
30X	dataset2	Deep_eccScan	4.11	0.3597
30X	dataset2	CircleMap	615.5	19.54
30X	dataset2	Circle_finder	13.6	6.51
30X	dataset2	ecc_finder	15.94	9.02
30X	dataset2	ECCsplorer	729.45	60.36
30X	dataset3	Deep_eccScan	42.61	0.3208
30X	dataset3	CircleMap	607.36	19.56
30X	dataset3	Circle_finder	11.83	6.5
30X	dataset3	ecc_finder	13.36	8.99
30X	dataset3	ECCsplorer	736.34	60.36
30X	dataset4	Deep_eccScan	6.64	0.4889
30X	dataset4	CircleMap	662.45	19.53
30X	dataset4	Circle_finder	15.83	6.31
30X	dataset4	ecc_finder	18.41	9.03
30X	dataset4	ECCsplorer	730.64	60.36
30X	dataset5	Deep_eccScan	5.49	0.486
30X	dataset5	CircleMap	661.85	19.58
30X	dataset5	Circle_finder	22.18	6.3
30X	dataset5	ecc_finder	28.42	9.1
30X	dataset5	ECCsplorer	725.68	60.36
30X	dataset6	Deep_eccScan	7.05	0.5142
30X	dataset6	CircleMap	592.28	19.56
30X	dataset6	Circle_finder	32.46	6.55
30X	dataset6	ecc_finder	45.51	19.27
30X	dataset6	ECCsplorer	145.73	60.36
30X	dataset7	Deep_eccScan	4.86	0.3685
30X	dataset7	CircleMap	597.89	19.51
30X	dataset7	Circle_finder	10.26	6.78
30X	dataset7	ecc_finder	10.44	8.96
30X	dataset7	ECCsplorer	765.6	60.36
40X	dataset1	Deep_eccScan	5.71	0.4854
40X	dataset1	CircleMap	577.76	19.59
40X	dataset1	Circle_finder	33.57	6.56
40X	dataset1	ecc_finder	40.13	12.03
40X	dataset1	ECCsplorer	136.38	60.36
40X	dataset2	Deep_eccScan	6.84	0.5258
40X	dataset2	CircleMap	578.56	19.56
40X	dataset2	Circle_finder	17.72	6.52
40X	dataset2	ecc_finder	20.87	9.03
40X	dataset2	ECCsplorer	736.26	60.36
40X	dataset3	Deep_eccScan	7.21	0.5458
40X	dataset3	CircleMap	574.74	19.56
40X	dataset3	Circle_finder	15.9	6.52
40X	dataset3	ecc_finder	17.98	9.0
40X	dataset3	ECCsplorer	742.33	60.36
40X	dataset4	Deep_eccScan	6.64	0.4889
40X	dataset4	CircleMap	536.73	19.53
40X	dataset4	Circle_finder	19.49	6.38
40X	dataset4	ecc_finder	24.66	9.06
40X	dataset4	ECCsplorer	729.83	60.36
40X	dataset5	Deep_eccScan	5.49	0.486
40X	dataset5	CircleMap	640.16	19.58
40X	dataset5	Circle_finder	39.24	6.56
40X	dataset5	ecc_finder	31.26	6.87
40X	dataset5	ECCsplorer	148.78	60.36
40X	dataset6	Deep_eccScan	7.05	0.5142
40X	dataset6	CircleMap	518.06	19.57
40X	dataset6	Circle_finder	45.54	6.77
40X	dataset6	ecc_finder	60.15	25.71
40X	dataset6	ECCsplorer	153.66	60.36
40X	dataset7	Deep_eccScan	11.29	0.4948
40X	dataset7	CircleMap	533.71	19.51
40X	dataset7	Circle_finder	14.02	6.85
40X	dataset7	ecc_finder	13.36	8.97
40X	dataset7	ECCsplorer	779.84	60.36
